image_name,cytoplasm_area,polar_body_area,polar_present,polar_ratio,zona_area,zona_ratio,total_area,circularity
0abb6366-ovo_35_t161_aug_2.png,48261,0,0,0,34529,0.715463832,82790,0.8397591
0b633a27-ovo_50_t41.png,46102,0,0,0,45452,0.985900829,91554,0.876734974
0b633a27-ovo_50_t41_aug_0.png,46103,0,0,0,45451,0.985857753,91554,0.79622308
0b633a27-ovo_50_t41_aug_1.png,46106,0,0,0,45448,0.985728539,91554,0.773510958
0b633a27-ovo_50_t41_aug_2.png,46102,0,0,0,45452,0.985900829,91554,0.876734974
0b72dfad-ovo_37_t186.png,46815,0,0,0,33051,0.705991669,79866,0.880185658
0b72dfad-ovo_37_t186_aug_0.png,46815,0,0,0,33051,0.705991669,79866,0.880185658
0b72dfad-ovo_37_t186_aug_1.png,46808,0,0,0,33060,0.706289523,79868,0.805774216
0b72dfad-ovo_37_t186_aug_2.png,46815,0,0,0,33051,0.705991669,79866,0.849939824
0b7dd9a1-ovo_04_t161.png,46504,0,0,0,31204,0.670996043,77708,0.871843504
0b7dd9a1-ovo_04_t161_aug_0.png,46504,0,0,0,31204,0.670996043,77708,0.871843504
0b7dd9a1-ovo_04_t161_aug_1.png,46508,0,0,0,31206,0.670981337,77714,0.804627389
0b7dd9a1-ovo_04_t161_aug_2.png,46504,0,0,0,31204,0.670996043,77708,0.871843504
0bcee63e-eovo_394_t1.png,0,0,0,0,214769,0,214769,0.877246958
0bcee63e-eovo_394_t1_aug_0.png,0,0,0,0,214773,0,214773,0.775549484
0bcee63e-eovo_394_t1_aug_1.png,0,0,0,0,214769,0,214769,0.877246958
0bcee63e-eovo_394_t1_aug_2.png,0,0,0,0,214769,0,214769,0.877246958
0bfe5f4c-ovo_52_t206.png,46740,0,0,0,31230,0.668164313,77970,0.881738884
0bfe5f4c-ovo_52_t206_aug_0.png,46740,0,0,0,31230,0.668164313,77970,0.881738884
0bfe5f4c-ovo_52_t206_aug_1.png,46740,0,0,0,31230,0.668164313,77970,0.881738884
0bfe5f4c-ovo_52_t206_aug_2.png,46740,0,0,0,31230,0.668164313,77970,0.881738884
0c16e1b1-ovo_06_t91.png,31843,0,0,0,61315,1.925540935,93158,0.888573214
0c16e1b1-ovo_06_t91_aug_0.png,31843,0,0,0,61315,1.925540935,93158,0.888573214
0c16e1b1-ovo_06_t91_aug_1.png,31842,0,0,0,61284,1.92462785,93126,0.871288048
0c16e1b1-ovo_06_t91_aug_2.png,31843,0,0,0,61315,1.925540935,93158,0.888573214
0cbc4b29-ovo_32_t66.png,43723,0,0,0,45760,1.046588752,89483,0.874059486
0cbc4b29-ovo_32_t66_aug_0.png,43724,0,0,0,45762,1.046610557,89486,0.795759401
0cbc4b29-ovo_32_t66_aug_1.png,43723,0,0,0,45761,1.046611623,89484,0.824762184
0cbc4b29-ovo_32_t66_aug_2.png,43721,0,0,0,45766,1.046773862,89487,0.774027058
0dee24bd-ovo_36_t251.png,40515,0,0,0,41257,1.018314205,81772,0.882688557
0dee24bd-ovo_36_t251_aug_0.png,40515,0,0,0,41257,1.018314205,81772,0.882688557
0dee24bd-ovo_36_t251_aug_1.png,40518,0,0,0,41251,1.018090725,81769,0.850570349
0dee24bd-ovo_36_t251_aug_2.png,40515,0,0,0,41257,1.018314205,81772,0.882688557
0e03a866-ovo_53_t96.png,42243,0,0,0,36687,0.86847525,78930,0.879944346
0e03a866-ovo_53_t96_aug_0.png,42243,0,0,0,36687,0.86847525,78930,0.876222224
0e03a866-ovo_53_t96_aug_1.png,42243,0,0,0,36685,0.868427905,78928,0.766776168
0e03a866-ovo_53_t96_aug_2.png,42244,0,0,0,36681,0.86831266,78925,0.756931059
